antecedents,consequents,support
702037,['701009'],0.1
702037,['702045'],0.1
702037,['702046'],0.1
702037,['702047'],0.1
702037,['702051'],0.1
702037,['702054'],0.1
702037,['702056'],0.1
702037,['702045'],0.1
702037,"['702045', '701009']",0.1
702037,['702046'],0.1
702037,"['702046', '701009']",0.1
702037,['702047'],0.1
702037,"['702047', '701009']",0.1
702037,['702051'],0.1
702037,"['702051', '701009']",0.1
702037,['702054'],0.1
702037,"['702054', '701009']",0.1
702037,['702056'],0.1
702037,"['702056', '701009']",0.1
702037,"['702045', '702046']",0.1
702037,"['702047', '702045']",0.1
702037,"['702045', '702051']",0.1
702037,"['702045', '702054']",0.1
702037,"['702045', '702056']",0.1
702037,"['702047', '702046']",0.1
702037,"['702051', '702046']",0.1
702037,"['702054', '702046']",0.1
702037,"['702046', '702056']",0.1
702037,"['702047', '702051']",0.1
702037,"['702047', '702054']",0.1
702037,"['702047', '702056']",0.1
702037,"['702054', '702051']",0.1
702037,"['702051', '702056']",0.1
702037,"['702054', '702056']",0.1
702037,['702045'],0.1
702037,"['702045', '702046']",0.1
702037,"['702045', '702046', '701009']",0.1
702037,"['702047', '702045']",0.1
702037,"['702047', '702045', '701009']",0.1
702037,['702045'],0.1
702037,"['702045', '702051']",0.1
702037,"['702045', '702051', '701009']",0.1
702037,['702045'],0.1
702037,"['702045', '702054']",0.1
702037,"['702045', '702054', '701009']",0.1
702037,['702045'],0.1
702037,"['702045', '702056']",0.1
702037,"['702045', '702056', '701009']",0.1
702037,['702047'],0.1
702037,"['702047', '702046']",0.1
702037,"['702047', '702046', '701009']",0.1
702037,['702046'],0.1
702037,['702051'],0.1
702037,"['702051', '702046']",0.1
702037,"['702051', '702046', '701009']",0.1
702037,['702046'],0.1
702037,['702054'],0.1
702037,"['702054', '702046']",0.1
702037,"['702054', '702046', '701009']",0.1
702037,['702046'],0.1
702037,['702056'],0.1
702037,"['702046', '702056']",0.1
702037,"['702046', '702056', '701009']",0.1
702037,['702047'],0.1
702037,"['702047', '702051']",0.1
702037,"['702047', '702051', '701009']",0.1
702037,['702047'],0.1
702037,"['702047', '702054']",0.1
702037,"['702047', '702054', '701009']",0.1
702037,['702047'],0.1
702037,"['702047', '702056']",0.1
702037,"['702047', '702056', '701009']",0.1
702037,['702051'],0.1
702037,['702054'],0.1
702037,"['702054', '702051']",0.1
702037,"['702054', '702051', '701009']",0.1
702037,['702056'],0.1
702037,['702051'],0.1
702037,"['702051', '702056']",0.1
702037,"['702051', '702056', '701009']",0.1
702037,['702056'],0.1
702037,['702054'],0.1
702037,"['702054', '702056']",0.1
702037,"['702054', '702056', '701009']",0.1
702037,"['702047', '702046', '702045']",0.1
702037,"['702045', '702051', '702046']",0.1
702037,"['702045', '702054', '702046']",0.1
702037,"['702045', '702046', '702056']",0.1
702037,"['702047', '702051', '702045']",0.1
702037,"['702047', '702054', '702045']",0.1
702037,"['702047', '702056', '702045']",0.1
702037,"['702045', '702054', '702051']",0.1
702037,"['702045', '702051', '702056']",0.1
702037,"['702045', '702054', '702056']",0.1
702037,"['702047', '702051', '702046']",0.1
702037,"['702047', '702054', '702046']",0.1
702037,"['702047', '702046', '702056']",0.1
702037,"['702051', '702046', '702054']",0.1
702037,"['702051', '702046', '702056']",0.1
702037,"['702054', '702046', '702056']",0.1
702037,"['702047', '702054', '702051']",0.1
702037,"['702047', '702051', '702056']",0.1
702037,"['702047', '702054', '702056']",0.1
702037,"['702054', '702051', '702056']",0.1
702037,"['702047', '702046', '702045', '701009']",0.1
702037,"['702045', '702051', '702046', '701009']",0.1
702037,"['702045', '702054', '702046', '701009']",0.1
702037,"['702045', '702046', '702056', '701009']",0.1
702037,"['702047', '702051', '702045', '701009']",0.1
702037,"['702047', '702054', '702045', '701009']",0.1
702037,"['702047', '702056', '702045', '701009']",0.1
702037,"['702045', '702054', '702051', '701009']",0.1
702037,"['702045', '702051', '702056', '701009']",0.1
702037,"['702045', '702054', '702056', '701009']",0.1
702037,"['702047', '702051', '702046', '701009']",0.1
702037,"['702047', '702054', '702046', '701009']",0.1
702037,"['702047', '702046', '702056', '701009']",0.1
702037,"['702054', '702051', '702046', '701009']",0.1
702037,"['702051', '702046', '702056', '701009']",0.1
702037,"['702054', '702046', '702056', '701009']",0.1
702037,"['702047', '702054', '702051', '701009']",0.1
702037,"['702047', '702051', '702056', '701009']",0.1
702037,"['702047', '702054', '702056', '701009']",0.1
702037,"['702054', '702051', '702056', '701009']",0.1
702037,"['702047', '702051', '702046', '702045']",0.1
702037,"['702047', '702054', '702046', '702045']",0.1
702037,"['702047', '702046', '702056', '702045']",0.1
702037,"['702045', '702054', '702051', '702046']",0.1
702037,"['702045', '702051', '702046', '702056']",0.1
702037,"['702045', '702054', '702046', '702056']",0.1
702037,"['702047', '702054', '702051', '702045']",0.1
702037,"['702047', '702051', '702056', '702045']",0.1
702037,"['702047', '702054', '702056', '702045']",0.1
702037,"['702045', '702054', '702051', '702056']",0.1
702037,"['702047', '702054', '702051', '702046']",0.1
702037,"['702047', '702051', '702046', '702056']",0.1
702037,"['702047', '702054', '702046', '702056']",0.1
702037,"['702051', '702054', '702046', '702056']",0.1
702037,"['702047', '702054', '702051', '702056']",0.1
702037,['702047'],0.1
702037,"['702047', '701009', '702045', '702046', '702051']",0.1
702037,['702047'],0.1
702037,"['702047', '702054', '701009', '702045', '702046']",0.1
702037,"['702047', '702056', '701009', '702045', '702046']",0.1
702037,['702051'],0.1
702037,['702046'],0.1
702037,['702045'],0.1
702037,['701009'],0.1
702037,['702054'],0.1
702037,"['702054', '701009', '702045', '702046', '702051']",0.1
702037,['702056'],0.1
702037,"['702056', '701009', '702045', '702046', '702051']",0.1
702037,['702056'],0.1
702037,"['702056', '702054', '701009', '702045', '702046']",0.1
702037,['702047'],0.1
702037,"['702047', '702054', '701009', '702045', '702051']",0.1
702037,"['702047', '702056', '701009', '702045', '702051']",0.1
702037,"['702047', '702056', '702054', '701009', '702045']",0.1
702037,['702056'],0.1
702037,"['702056', '702054', '701009', '702045', '702051']",0.1
702037,['702047'],0.1
702037,"['702047', '702054', '701009', '702046', '702051']",0.1
702037,"['702047', '702056', '701009', '702046', '702051']",0.1
702037,"['702047', '702056', '702054', '701009', '702046']",0.1
702037,['702056'],0.1
702037,"['702056', '702054', '701009', '702046', '702051']",0.1
702037,"['702047', '702056', '702054', '701009', '702051']",0.1
702037,['702047'],0.1
702037,"['702047', '702054', '702045', '702046', '702051']",0.1
702037,"['702047', '702056', '702045', '702046', '702051']",0.1
702037,"['702047', '702056', '702054', '702045', '702046']",0.1
702037,['702056'],0.1
702037,"['702056', '702054', '702045', '702046', '702051']",0.1
702037,"['702047', '702056', '702054', '702045', '702051']",0.1
702037,"['702047', '702056', '702054', '702046', '702051']",0.1
702037,['702047'],0.1
702037,"['702047', '702051']",0.1
702037,"['702047', '702046']",0.1
702037,"['702047', '702045']",0.1
702037,"['702047', '701009']",0.1
702037,"['702047', '702054']",0.1
702037,"['702047', '702054', '701009', '702045', '702046', '702051']",0.1
702037,"['702047', '702056']",0.1
702037,"['702047', '702056', '701009', '702045', '702046', '702051']",0.1
702037,"['702047', '702056']",0.1
702037,"['702047', '702056', '702054', '701009', '702045', '702046']",0.1
702037,['702056'],0.1
702037,"['702051', '702056']",0.1
702037,"['702046', '702056']",0.1
702037,"['702045', '702056']",0.1
702037,"['702056', '701009']",0.1
702037,"['702054', '702056']",0.1
702037,"['702056', '702054', '701009', '702045', '702046', '702051']",0.1
702037,"['702047', '702056']",0.1
702037,"['702047', '702056', '702054', '701009', '702045', '702051']",0.1
702037,"['702047', '702056']",0.1
702037,"['702047', '702056', '702054', '701009', '702046', '702051']",0.1
702037,"['702047', '702056']",0.1
702037,"['702047', '702056', '702054', '702045', '702046', '702051']",0.1
702037,"['702047', '702056']",0.1
702037,"['702047', '702051', '702056']",0.1
702037,"['702047', '702046', '702056']",0.1
702037,"['702047', '702056', '702045']",0.1
702037,"['702047', '702056', '701009']",0.1
702037,"['702047', '702054', '702056']",0.1
702037,"['702047', '702056', '702054', '701009', '702045', '702046', '702051']",0.1
